modality,window_size,start_unit,end_unit,positions,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta,positive_classification_drop,combined_raw_score,combined_score
T,1,0,0,1,1,01,missing,0.5684352517127991,0.05761792695671322,0.0005609989166259766,0.0006819105222821281,0.0005609989166259766,0.0006746506703396646,0.0006099984913577101
T,1,1,1,2,1,01,missing,0.5605374574661255,0.059878131301701096,0.00845879316329956,0.0015782938227057453,0.00845879316329956,0.008721842133750518,0.007886022763112835
T,1,2,2,3,1,01,missing,0.5527572631835938,0.0571559871375561,0.0162389874458313,0.0011438503414392537,0.0162389874458313,0.01642962916940451,0.014855167937293539
T,1,3,3,4,1,01,missing,0.5537883639335632,0.06422805061340334,0.015207886695861816,0.005928213134407986,0.015207886695861816,0.01619592221826315,0.014643857263661117
T,1,4,4,5,1,01,missing,0.5426196455955505,0.06095048847943546,0.02637660503387451,0.00265065100044011,0.02637660503387451,0.02681838020061453,0.024248358716957977
T,1,5,5,6,1,01,missing,0.5740165114402771,0.044821133987605594,-0.005020260810852051,0.013478703491389757,0.0,0.0022464505818982927,0.0020311718732565574
T,1,6,6,7,1,01,missing,0.5557017922401428,0.05929520356804134,0.013294458389282227,0.0009953660890459903,0.013294458389282227,0.013460352737456558,0.012170439049378335
T,1,7,7,8,1,01,missing,0.5622742772102356,0.0590202401891351,0.006721973419189453,0.0007204027101397475,0.006721973419189453,0.006842040537546078,0.006186363683015559
T,1,8,8,9,1,01,missing,0.5696932077407837,0.034977445022761844,-0.0006969571113586426,0.023322392456233507,0.0,0.0038870654093722513,0.003514565596343423
T,1,9,9,10,1,01,missing,0.5725729465484619,0.04359754695147278,-0.0035766959190368652,0.014702290527522567,0.0,0.0024503817545870944,0.002215560199170986
T,1,10,10,11,1,01,missing,0.562717616558075,0.07357130757123234,0.006278634071350098,0.015271470092236991,0.006278634071350098,0.008823879086722929,0.007978281453591229
T,1,11,11,12,1,01,missing,0.5726917386054993,0.049523007766902466,-0.0036954879760742188,0.008776829712092885,0.0,0.0014628049520154808,0.0013226234747988651
T,1,12,12,13,1,01,missing,0.5704206824302673,0.03932736769095065,-0.0014244318008422852,0.018972469788044698,0.0,0.0031620782980074495,0.0028590544353396708
T,1,13,13,14,1,01,missing,0.5663639307022095,0.050237912552058714,0.002632319927215576,0.008061924926936637,0.002632319927215576,0.003975974081705015,0.003594954097201649
T,1,14,14,15,1,01,missing,0.5684494376182556,0.05090882051140072,0.0005468130111694336,0.00739101696759463,0.0005468130111694336,0.0017786491724352052,0.0016082001538572047
T,1,15,15,16,1,01,missing,0.5823673009872437,0.038705947769433285,-0.013371050357818604,0.019593889709562065,0.0,0.0032656482849270107,0.00295269924820121
T,1,16,16,17,1,01,missing,0.5688264966011047,0.049883205765485786,0.0001697540283203125,0.008416631713509565,0.0001697540283203125,0.0015725259805719066,0.0014218298712824543
T,1,17,17,18,1,01,missing,0.5750161409378052,0.038612459549307844,-0.006019890308380127,0.019687377929687506,0.0,0.0032812296549479176,0.0029667874461737315
T,1,18,18,19,1,01,missing,0.5794223546981812,0.04689436189234259,-0.010426104068756104,0.01140547558665276,0.0,0.0019009125977754598,0.0017187470017069704
T,1,19,19,20|21,1,01,missing,0.5694528818130493,0.04619595088213684,-0.0004566311836242676,0.012103886596858508,0.0,0.0020173144328097512,0.0018239939789706824
T,1,20,20,22,1,01,missing,0.551311194896698,0.07291688667386773,0.01768505573272705,0.014617049194872375,0.01768505573272705,0.020121230598539114,0.018193000984035097
