scenario_id,scenario,modality_combination,missing_rate_percent,missing_rate_target,position,runtime_seconds,accuracy,macro_f1,weighted_f1,mae,pearson,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,mae_negative,mae_neutral,mae_positive,composite_score,task_loss,weight_text,missing_region_weight_text,weight_audio,missing_region_weight_audio,weight_vision,missing_region_weight_vision
33,V_10_Tail,V,10,0.1,Tail,0.46952104568481445,0.6304945054945055,0.6195836479061281,0.6373077710333089,0.6084283590316772,0.6592998786656616,0.6796116504854369,0.5706521739130435,0.6331360946745562,0.6557377049180327,0.5048076923076923,0.6982055464926591,0.7274307608604431,0.4642423689365387,0.614392101764679,0.676642144763934,1.354593778704549,0.45379292670559773,,0.27293606103426504,,0.2732710106218734,0.31493378683114154
34,V_20_Head,V,20,0.2,Head,0.4681873321533203,0.6277472527472527,0.618258074004406,0.6349746198646009,0.6055079102516174,0.6607509794201263,0.6796116504854369,0.5815217391304348,0.621301775147929,0.6557377049180327,0.5071090047393365,0.6919275123558485,0.7180248498916626,0.4540207087993622,0.6193988919258118,0.6762300840219782,1.350206943658682,0.45028653266682295,,0.27062837397153733,,0.27908509254250785,0.31201914591961594
35,V_20_Middle,V,20,0.2,Middle,0.46088337898254395,0.6304945054945055,0.619089419031388,0.6373815270329292,0.6045091152191162,0.6616761798862874,0.6796116504854369,0.5652173913043478,0.636094674556213,0.6557377049180327,0.5012048192771085,0.7003257328990228,0.7287915945053101,0.4595644176006317,0.6076678037643433,0.6774392665014521,1.3504528449131892,0.4508847037379466,,0.2710349976005333,,0.27808030275717965,0.30470323983923975
36,V_20_Tail,V,20,0.2,Tail,0.4580392837524414,0.6332417582417582,0.62261343150568,0.6399413292570987,0.6100621223449707,0.6589074463488901,0.6844660194174758,0.5760869565217391,0.6331360946745562,0.6588785046728972,0.5096153846153846,0.6993464052287581,0.732384979724884,0.46992671489715576,0.6117970943450928,0.6778521488286678,1.3599534231227832,0.4511262133112787,,0.2713252864786041,,0.277548501848381,0.31362401306070636
37,V_30_Head,V,30,0.3,Head,0.46206164360046387,0.625,0.6151170149236375,0.632451393066426,0.6054887175559998,0.6610796023970811,0.6747572815533981,0.5760869565217391,0.621301775147929,0.6510538641686182,0.5023696682464455,0.6919275123558485,0.7190285325050354,0.4551900327205658,0.6181093454360962,0.674841761200513,1.3524182707398802,0.44716752248694003,,0.26867611643222106,,0.2841563618999708,0.30987507084690297
38,V_30_Middle,V,30,0.3,Middle,0.4633336067199707,0.6291208791208791,0.617015136846763,0.6357740996277079,0.6048163771629333,0.6620964563199132,0.6796116504854369,0.5543478260869565,0.6390532544378699,0.6557377049180327,0.49514563106796117,0.700162074554295,0.7317258715629578,0.46113255620002747,0.6056874990463257,0.6766567533083111,1.3527548103542117,0.44782786403112923,,0.2691521557559521,,0.28301998922336963,0.3057435490702206
39,V_30_Tail,V,30,0.3,Tail,0.4593629837036133,0.6318681318681318,0.6209315268823036,0.6383782904676367,0.6119066476821899,0.6585343215123377,0.6844660194174758,0.5706521739130435,0.6331360946745562,0.6573426573426573,0.5072463768115942,0.6982055464926591,0.7376757264137268,0.4744070768356323,0.610106348991394,0.6768412744255108,1.3648139068058558,0.44833375989354063,,0.26964047960081095,,0.282025755590857,0.3138144246143701
40,V_40_Head,V,40,0.4,Head,0.46262025833129883,0.6222527472527473,0.6121182826337993,0.6296012495773928,0.6058662533760071,0.6609504684285077,0.6699029126213593,0.5706521739130435,0.621301775147929,0.647887323943662,0.498812351543943,0.6896551724137931,0.7215784788131714,0.45659714937210083,0.6166022419929504,0.673341520130763,1.3546214077498886,0.44411667227258694,,0.26674963369731974,,0.28913370959359946,0.30952731287637664
41,V_40_Middle,V,40,0.4,Middle,0.4692347049713135,0.6304945054945055,0.6173337162442237,0.6369588721392957,0.6058886051177979,0.6626234386095637,0.6796116504854369,0.5434782608695652,0.6479289940828402,0.6588235294117647,0.4889975550122249,0.7041800643086816,0.7367636561393738,0.4655190408229828,0.6025386452674866,0.6771221979939235,1.3556730956821652,0.444752580750416,,0.26725919107933116,,0.2879882355424399,0.30689297103523744
42,V_40_Tail,V,40,0.4,Tail,0.4615800380706787,0.6304945054945055,0.6177047123623937,0.6362287247680144,0.6131154298782349,0.6588090167007291,0.6796116504854369,0.5489130434782609,0.6449704142011834,0.6557377049180327,0.4975369458128079,0.6998394863563403,0.742789626121521,0.4788382053375244,0.6071808338165283,0.6756591061495542,1.3690723036671733,0.44547418025473245,,0.2678973120324264,,0.2866284970641264,0.313389468515976
43,V_50_Head,V,50,0.5,Head,0.46074914932250977,0.6181318681318682,0.6077391046865327,0.6255402139113679,0.6066806316375732,0.6606661522855928,0.6699029126213593,0.5597826086956522,0.6183431952662722,0.6463700234192038,0.49047619047619045,0.6863711001642037,0.7245514392852783,0.45951685309410095,0.6149550080299377,0.6710775619728673,1.3578082349274185,0.4406054994182984,,0.26457808308010583,,0.2948164117676725,0.31050727457939825
44,V_50_Middle,V,50,0.5,Middle,0.4667677879333496,0.625,0.6117921290502016,0.631173441160425,0.6065787672996521,0.6628050586794175,0.6699029126213593,0.5380434782608695,0.6449704142011834,0.6524822695035462,0.4852941176470588,0.6976,0.7412368655204773,0.47073763608932495,0.5984580516815186,0.6743510663241004,1.3595905579053438,0.4413567220087033,,0.2651290000700915,,0.2935142811977328,0.30840550595697974
